key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,fentanylPercentageChange,methamphetaminePercentageChange,cocainePercentageChange,benzoPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,fentanylIsSignificant,methamphetamineIsSignificant,cocaineIsSignificant,benzoIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,fentanylSignificance,methamphetamineSignificance,cocaineSignificance,benzoSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange,jurisdiction_count,comparisonType
NY|2019|6|all|all:NY|2020|6|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,6,2020,6,all,all,1,8Year2YearSameMonthNY
NY|2019|7|all|all:NY|2020|7|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,7,2020,7,all,all,1,8Year2YearSameMonthNY
NY|2019|8|all|all:NY|2020|8|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,8,2020,8,all,all,1,8Year2YearSameMonthNY
NY|2019|9|all|all:NY|2020|9|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,9,2020,9,all,all,1,8Year2YearSameMonthNY
NY|2019|10|all|all:NY|2020|10|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,10,2020,10,all,all,1,8Year2YearSameMonthNY
NY|2019|11|all|all:NY|2020|11|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,11,2020,11,all,all,1,8Year2YearSameMonthNY
NY|2019|12|all|all:NY|2020|12|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,12,2020,12,all,all,1,8Year2YearSameMonthNY
NY|2020|1|all|all:NY|2021|1|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2020,1,2021,1,all,all,1,8Year2YearSameMonthNY
NY|2020|2|all|all:NY|2021|2|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2020,2,2021,2,all,all,1,8Year2YearSameMonthNY
NY|2020|3|all|all:NY|2021|3|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2020,3,2021,3,all,all,1,8Year2YearSameMonthNY
