Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
DE,DELAWARE,11,2018,M112018,0-14,F,16,.,.,.,3503
FL,FLORIDA,11,2018,M112018,0-14,F,184,2,.,5,72837
GA,GEORGIA,11,2018,M112018,0-14,F,98,1,.,4,34348
IL,ILLINOIS,11,2018,M112018,0-14,F,116,2,1,2,29510
IN,INDIANA,11,2018,M112018,0-14,F,96,2,.,4,15982
KS,KANSAS,11,2018,M112018,0-14,F,28,.,.,1,5557
KY,KENTUCKY,11,2018,M112018,0-14,F,48,.,.,.,13097
LA,LOUISIANA,11,2018,M112018,0-14,F,24,1,1,1,12797
MA,MASSACHUSETTS,11,2018,M112018,0-14,F,64,1,.,1,12849
ME,MAINE,11,2018,M112018,0-14,F,8,.,.,.,2340
MI,MICHIGAN,11,2018,M112018,0-14,F,77,.,.,3,25007
MO,MISSOURI,11,2018,M112018,0-14,F,33,.,.,.,17885
MT,MONTANA,11,2018,M112018,0-14,F,17,.,.,2,1795
NC,NORTH CAROLINA,11,2018,M112018,0-14,F,108,4,.,5,26164
NH,NEW HAMPSHIRE,11,2018,M112018,0-14,F,8,.,.,.,3116
NJ,NEW JERSEY,11,2018,M112018,0-14,F,40,.,.,.,22157
NM,NEW MEXICO,11,2018,M112018,0-14,F,30,1,.,.,4624
NV,NEVADA,11,2018,M112018,0-14,F,21,1,.,.,6999
NY,NEW YORK,11,2018,M112018,0-14,F,89,1,.,1,42619
OH,OHIO,11,2018,M112018,0-14,F,143,2,.,1,39898
OR,OREGON,11,2018,M112018,0-14,F,57,2,.,.,6658
PA,PENNSYLVANIA,11,2018,M112018,0-14,F,94,4,.,1,19013
RI,RHODE ISLAND,11,2018,M112018,0-14,F,11,.,.,.,2263
SD,SOUTH DAKOTA,11,2018,M112018,0-14,F,17,.,.,.,1783
TN,TENNESSEE,11,2018,M112018,0-14,F,64,3,.,.,14491
UT,UTAH,11,2018,M112018,0-14,F,31,.,.,.,3165
VA,VIRGINIA,11,2018,M112018,0-14,F,69,1,.,1,17307
VT,VERMONT,11,2018,M112018,0-14,F,8,.,.,.,936
WA,WASHINGTON,11,2018,M112018,0-14,F,70,.,.,2,8041
WV,WEST VIRGINIA,11,2018,M112018,0-14,F,23,2,.,1,4728
AK,ALASKA,12,2018,M122018,0-14,F,4,.,.,.,1595
AL,ALABAMA,12,2018,M122018,0-14,F,42,1,.,.,14627
AR,ARKANSAS,12,2018,M122018,0-14,F,16,.,.,.,5083
AZ,ARIZONA,12,2018,M122018,0-14,F,38,2,.,.,8283
CO,COLORADO,12,2018,M122018,0-14,F,15,.,.,1,4844
CT,CONNECTICUT,12,2018,M122018,0-14,F,17,.,.,.,10391
DC,DISTRICT OF COLUMBIA,12,2018,M122018,0-14,F,7,.,.,.,4614
DE,DELAWARE,12,2018,M122018,0-14,F,18,.,.,.,4243
FL,FLORIDA,12,2018,M122018,0-14,F,175,8,.,5,78051
GA,GEORGIA,12,2018,M122018,0-14,F,95,1,.,2,38978
IL,ILLINOIS,12,2018,M122018,0-14,F,124,1,.,1,35438
IN,INDIANA,12,2018,M122018,0-14,F,84,1,.,2,19145
KS,KANSAS,12,2018,M122018,0-14,F,28,.,.,2,6365
KY,KENTUCKY,12,2018,M122018,0-14,F,38,.,.,4,14827
LA,LOUISIANA,12,2018,M122018,0-14,F,28,.,.,.,13252
MA,MASSACHUSETTS,12,2018,M122018,0-14,F,56,1,.,.,16626
ME,MAINE,12,2018,M122018,0-14,F,7,.,.,.,2484
MI,MICHIGAN,12,2018,M122018,0-14,F,93,1,.,1,29961
MO,MISSOURI,12,2018,M122018,0-14,F,29,.,.,.,20630
MT,MONTANA,12,2018,M122018,0-14,F,21,.,.,.,2092
NC,NORTH CAROLINA,12,2018,M122018,0-14,F,108,3,.,5,29883
NH,NEW HAMPSHIRE,12,2018,M122018,0-14,F,9,.,.,.,3907
NJ,NEW JERSEY,12,2018,M122018,0-14,F,48,.,.,.,27454
NM,NEW MEXICO,12,2018,M122018,0-14,F,24,1,.,.,6257
NV,NEVADA,12,2018,M122018,0-14,F,29,.,.,.,8492
NY,NEW YORK,12,2018,M122018,0-14,F,71,1,.,.,51431
OH,OHIO,12,2018,M122018,0-14,F,126,3,.,.,46767
OR,OREGON,12,2018,M122018,0-14,F,63,1,.,4,7199
PA,PENNSYLVANIA,12,2018,M122018,0-14,F,93,3,.,3,22614
RI,RHODE ISLAND,12,2018,M122018,0-14,F,7,.,.,.,2764
SD,SOUTH DAKOTA,12,2018,M122018,0-14,F,28,.,.,.,1966
TN,TENNESSEE,12,2018,M122018,0-14,F,68,2,.,.,16790
UT,UTAH,12,2018,M122018,0-14,F,35,3,.,2,4636
VA,VIRGINIA,12,2018,M122018,0-14,F,59,1,.,1,18505
VT,VERMONT,12,2018,M122018,0-14,F,10,.,.,.,1089
WA,WASHINGTON,12,2018,M122018,0-14,F,51,.,.,1,9637
WV,WEST VIRGINIA,12,2018,M122018,0-14,F,24,1,.,1,5668
AK,ALASKA,1,2019,M12019,0-14,F,8,.,.,.,1822
AL,ALABAMA,1,2019,M12019,0-14,F,56,.,.,2,14003
AR,ARKANSAS,1,2019,M12019,0-14,F,21,.,.,1,4909
AZ,ARIZONA,1,2019,M12019,0-14,F,36,4,.,3,8312
CO,COLORADO,1,2019,M12019,0-14,F,25,1,.,.,4129
CT,CONNECTICUT,1,2019,M12019,0-14,F,32,1,.,1,10180
DC,DISTRICT OF COLUMBIA,1,2019,M12019,0-14,F,12,.,.,2,4563
DE,DELAWARE,1,2019,M12019,0-14,F,8,.,.,.,3929
FL,FLORIDA,1,2019,M12019,0-14,F,224,8,.,8,69333
GA,GEORGIA,1,2019,M12019,0-14,F,103,3,.,2,31318
IL,ILLINOIS,1,2019,M12019,0-14,F,115,1,.,2,31310
IN,INDIANA,1,2019,M12019,0-14,F,72,2,.,2,17678
KS,KANSAS,1,2019,M12019,0-14,F,26,.,.,.,6903
KY,KENTUCKY,1,2019,M12019,0-14,F,38,.,.,1,14595
LA,LOUISIANA,1,2019,M12019,0-14,F,40,.,.,.,12505
MA,MASSACHUSETTS,1,2019,M12019,0-14,F,54,1,.,.,17918
ME,MAINE,1,2019,M12019,0-14,F,13,1,.,.,2659
MI,MICHIGAN,1,2019,M12019,0-14,F,55,3,.,2,26229
MO,MISSOURI,1,2019,M12019,0-14,F,47,3,.,.,18981
MT,MONTANA,1,2019,M12019,0-14,F,8,.,.,.,2189
NC,NORTH CAROLINA,1,2019,M12019,0-14,F,129,2,.,2,31221
NH,NEW HAMPSHIRE,1,2019,M12019,0-14,F,19,1,.,.,4287
NJ,NEW JERSEY,1,2019,M12019,0-14,F,31,2,.,1,26209
NM,NEW MEXICO,1,2019,M12019,0-14,F,13,1,.,.,5786
NV,NEVADA,1,2019,M12019,0-14,F,24,.,.,.,8871
NY,NEW YORK,1,2019,M12019,0-14,F,74,1,.,1,48737
OH,OHIO,1,2019,M12019,0-14,F,122,2,.,1,40912
OR,OREGON,1,2019,M12019,0-14,F,57,.,.,.,7505
PA,PENNSYLVANIA,1,2019,M12019,0-14,F,93,1,.,.,22556
RI,RHODE ISLAND,1,2019,M12019,0-14,F,7,.,.,.,2892
SD,SOUTH DAKOTA,1,2019,M12019,0-14,F,19,.,.,.,1910
TN,TENNESSEE,1,2019,M12019,0-14,F,64,1,.,3,15048
UT,UTAH,1,2019,M12019,0-14,F,62,3,.,2,5338
VA,VIRGINIA,1,2019,M12019,0-14,F,89,1,.,.,18548
VT,VERMONT,1,2019,M12019,0-14,F,8,.,.,.,1185
WA,WASHINGTON,1,2019,M12019,0-14,F,85,4,.,1,12826
WV,WEST VIRGINIA,1,2019,M12019,0-14,F,13,.,.,1,5892
AK,ALASKA,2,2019,M22019,0-14,F,6,.,.,1,1943
AL,ALABAMA,2,2019,M22019,0-14,F,47,.,.,1,14962
AR,ARKANSAS,2,2019,M22019,0-14,F,25,.,.,.,5438
AZ,ARIZONA,2,2019,M22019,0-14,F,47,3,.,1,8435
CO,COLORADO,2,2019,M22019,0-14,F,23,1,.,.,4225
CT,CONNECTICUT,2,2019,M22019,0-14,F,25,1,.,.,8879
DC,DISTRICT OF COLUMBIA,2,2019,M22019,0-14,F,9,.,.,.,4637
DE,DELAWARE,2,2019,M22019,0-14,F,21,.,.,.,3760
FL,FLORIDA,2,2019,M22019,0-14,F,259,8,.,5,77968
GA,GEORGIA,2,2019,M22019,0-14,F,102,3,.,2,33609
IL,ILLINOIS,2,2019,M22019,0-14,F,120,4,1,2,29372
IN,INDIANA,2,2019,M22019,0-14,F,81,2,.,3,17005
KS,KANSAS,2,2019,M22019,0-14,F,30,.,.,1,6803
KY,KENTUCKY,2,2019,M22019,0-14,F,52,1,.,1,12861
LA,LOUISIANA,2,2019,M22019,0-14,F,38,1,.,.,16125
MA,MASSACHUSETTS,2,2019,M22019,0-14,F,59,4,.,2,15490
MD,MARYLAND,2,2019,M22019,0-14,F,68,5,.,3,12022
ME,MAINE,2,2019,M22019,0-14,F,8,1,.,.,2755
MI,MICHIGAN,2,2019,M22019,0-14,F,83,.,.,2,21500
MO,MISSOURI,2,2019,M22019,0-14,F,42,.,.,.,19230
MT,MONTANA,2,2019,M22019,0-14,F,23,.,.,.,2362
NC,NORTH CAROLINA,2,2019,M22019,0-14,F,107,2,.,1,34828
NH,NEW HAMPSHIRE,2,2019,M22019,0-14,F,13,.,.,.,3963
NJ,NEW JERSEY,2,2019,M22019,0-14,F,31,.,.,.,24140
NM,NEW MEXICO,2,2019,M22019,0-14,F,24,.,.,1,6060
NV,NEVADA,2,2019,M22019,0-14,F,32,.,.,.,9244
NY,NEW YORK,2,2019,M22019,0-14,F,81,.,.,.,44418
OH,OHIO,2,2019,M22019,0-14,F,114,1,.,1,40789
OR,OREGON,2,2019,M22019,0-14,F,60,4,.,.,8281
PA,PENNSYLVANIA,2,2019,M22019,0-14,F,80,5,.,1,20386
RI,RHODE ISLAND,2,2019,M22019,0-14,F,15,2,.,1,2675
SD,SOUTH DAKOTA,2,2019,M22019,0-14,F,18,.,.,.,2046
TN,TENNESSEE,2,2019,M22019,0-14,F,48,3,.,2,15131
UT,UTAH,2,2019,M22019,0-14,F,54,2,.,1,4881
VA,VIRGINIA,2,2019,M22019,0-14,F,69,.,.,.,20489
VT,VERMONT,2,2019,M22019,0-14,F,5,1,.,.,1181
WA,WASHINGTON,2,2019,M22019,0-14,F,64,2,.,.,11476
WV,WEST VIRGINIA,2,2019,M22019,0-14,F,30,2,.,.,5991
AK,ALASKA,3,2019,M32019,0-14,F,4,.,.,.,1782
AL,ALABAMA,3,2019,M32019,0-14,F,53,2,.,.,12585
AR,ARKANSAS,3,2019,M32019,0-14,F,20,.,.,.,5416
AZ,ARIZONA,3,2019,M32019,0-14,F,41,2,.,4,8715
CO,COLORADO,3,2019,M32019,0-14,F,22,1,.,.,4628
CT,CONNECTICUT,3,2019,M32019,0-14,F,31,1,.,1,9963
DC,DISTRICT OF COLUMBIA,3,2019,M32019,0-14,F,13,.,.,.,5401
DE,DELAWARE,3,2019,M32019,0-14,F,19,.,.,1,3971
FL,FLORIDA,3,2019,M32019,0-14,F,246,6,.,7,81644
GA,GEORGIA,3,2019,M32019,0-14,F,93,2,.,2,36751
IL,ILLINOIS,3,2019,M32019,0-14,F,106,1,1,4,36436
IN,INDIANA,3,2019,M32019,0-14,F,81,1,.,3,20835
KS,KANSAS,3,2019,M32019,0-14,F,24,1,.,.,6879
KY,KENTUCKY,3,2019,M32019,0-14,F,42,2,.,1,11974
LA,LOUISIANA,3,2019,M32019,0-14,F,28,1,.,.,14400
MA,MASSACHUSETTS,3,2019,M32019,0-14,F,50,.,.,1,17627
MD,MARYLAND,3,2019,M32019,0-14,F,58,.,.,1,14434
ME,MAINE,3,2019,M32019,0-14,F,13,.,.,.,3024
MI,MICHIGAN,3,2019,M32019,0-14,F,80,.,.,1,30786
MO,MISSOURI,3,2019,M32019,0-14,F,45,.,.,1,21112
MT,MONTANA,3,2019,M32019,0-14,F,14,1,.,2,2257
NC,NORTH CAROLINA,3,2019,M32019,0-14,F,112,3,.,6,32761
NH,NEW HAMPSHIRE,3,2019,M32019,0-14,F,8,.,.,.,3786
NJ,NEW JERSEY,3,2019,M32019,0-14,F,30,.,.,.,26367
NM,NEW MEXICO,3,2019,M32019,0-14,F,14,.,.,1,5930
NV,NEVADA,3,2019,M32019,0-14,F,34,1,.,.,9438
NY,NEW YORK,3,2019,M32019,0-14,F,106,2,.,1,50243
OH,OHIO,3,2019,M32019,0-14,F,101,2,.,3,50680
OR,OREGON,3,2019,M32019,0-14,F,62,2,.,1,9619
PA,PENNSYLVANIA,3,2019,M32019,0-14,F,85,1,.,1,24092
RI,RHODE ISLAND,3,2019,M32019,0-14,F,8,.,.,.,2970
SD,SOUTH DAKOTA,3,2019,M32019,0-14,F,19,.,.,.,2122
TN,TENNESSEE,3,2019,M32019,0-14,F,55,4,.,4,14900
UT,UTAH,3,2019,M32019,0-14,F,50,.,.,.,4973
VA,VIRGINIA,3,2019,M32019,0-14,F,96,.,.,2,21571
VT,VERMONT,3,2019,M32019,0-14,F,9,.,.,.,1302
WA,WASHINGTON,3,2019,M32019,0-14,F,83,2,.,.,16252
WV,WEST VIRGINIA,3,2019,M32019,0-14,F,20,2,.,2,5648
AK,ALASKA,4,2019,M42019,0-14,F,8,1,.,.,1681
AL,ALABAMA,4,2019,M42019,0-14,F,62,2,.,2,13309
AR,ARKANSAS,4,2019,M42019,0-14,F,24,.,.,.,4726
AZ,ARIZONA,4,2019,M42019,0-14,F,48,2,.,1,7890
CO,COLORADO,4,2019,M42019,0-14,F,20,1,.,.,4090
CT,CONNECTICUT,4,2019,M42019,0-14,F,25,.,.,.,8593
DC,DISTRICT OF COLUMBIA,4,2019,M42019,0-14,F,14,.,.,.,4592
DE,DELAWARE,4,2019,M42019,0-14,F,17,.,.,1,3733
FL,FLORIDA,4,2019,M42019,0-14,F,238,4,1,6,78804
GA,GEORGIA,4,2019,M42019,0-14,F,87,.,.,.,32676
IL,ILLINOIS,4,2019,M42019,0-14,F,122,6,1,2,31104
IN,INDIANA,4,2019,M42019,0-14,F,109,.,.,6,17064
KS,KANSAS,4,2019,M42019,0-14,F,39,1,.,1,6778
KY,KENTUCKY,4,2019,M42019,0-14,F,53,3,.,1,12322
LA,LOUISIANA,4,2019,M42019,0-14,F,23,1,1,.,11580
MA,MASSACHUSETTS,4,2019,M42019,0-14,F,70,.,.,1,16291
MD,MARYLAND,4,2019,M42019,0-14,F,64,3,2,2,12829
ME,MAINE,4,2019,M42019,0-14,F,4,.,.,.,2716
MI,MICHIGAN,4,2019,M42019,0-14,F,84,1,.,3,27306
MO,MISSOURI,4,2019,M42019,0-14,F,44,.,.,.,18829
MT,MONTANA,4,2019,M42019,0-14,F,13,1,.,.,2031
NC,NORTH CAROLINA,4,2019,M42019,0-14,F,115,6,.,6,29836
NH,NEW HAMPSHIRE,4,2019,M42019,0-14,F,7,.,.,.,3759
NJ,NEW JERSEY,4,2019,M42019,0-14,F,41,.,.,1,23285
NM,NEW MEXICO,4,2019,M42019,0-14,F,29,.,.,.,5250
NV,NEVADA,4,2019,M42019,0-14,F,47,.,.,2,8106
NY,NEW YORK,4,2019,M42019,0-14,F,96,.,.,2,45514
OH,OHIO,4,2019,M42019,0-14,F,126,2,.,.,41634
OR,OREGON,4,2019,M42019,0-14,F,60,1,.,1,7414
PA,PENNSYLVANIA,4,2019,M42019,0-14,F,77,1,.,1,21546
RI,RHODE ISLAND,4,2019,M42019,0-14,F,11,.,.,.,2726
SD,SOUTH DAKOTA,4,2019,M42019,0-14,F,15,.,.,.,1744
TN,TENNESSEE,4,2019,M42019,0-14,F,75,1,.,2,15313
UT,UTAH,4,2019,M42019,0-14,F,53,3,.,4,4134
VA,VIRGINIA,4,2019,M42019,0-14,F,66,2,.,1,18479
VT,VERMONT,4,2019,M42019,0-14,F,2,.,.,.,1114
WA,WASHINGTON,4,2019,M42019,0-14,F,74,.,.,1,11956
WI,WISCONSIN,4,2019,M42019,0-14,F,42,.,.,.,11537
WV,WEST VIRGINIA,4,2019,M42019,0-14,F,15,1,.,.,4616
AK,ALASKA,5,2019,M52019,0-14,F,5,.,.,.,1776
AL,ALABAMA,5,2019,M52019,0-14,F,64,3,.,3,14360
AR,ARKANSAS,5,2019,M52019,0-14,F,26,.,.,.,4508
AZ,ARIZONA,5,2019,M52019,0-14,F,51,3,1,2,7730
CO,COLORADO,5,2019,M52019,0-14,F,17,.,.,1,3923
CT,CONNECTICUT,5,2019,M52019,0-14,F,28,.,.,1,9143
DC,DISTRICT OF COLUMBIA,5,2019,M52019,0-14,F,13,.,.,.,4613
DE,DELAWARE,5,2019,M52019,0-14,F,21,.,.,.,3678
FL,FLORIDA,5,2019,M52019,0-14,F,250,7,.,8,76408
GA,GEORGIA,5,2019,M52019,0-14,F,89,2,.,.,31483
IL,ILLINOIS,5,2019,M52019,0-14,F,108,.,.,3,31263
IN,INDIANA,5,2019,M52019,0-14,F,101,4,.,2,17354
KS,KANSAS,5,2019,M52019,0-14,F,36,1,.,.,6553
KY,KENTUCKY,5,2019,M52019,0-14,F,55,2,.,2,13154
LA,LOUISIANA,5,2019,M52019,0-14,F,29,.,.,.,11272
MA,MASSACHUSETTS,5,2019,M52019,0-14,F,63,1,.,1,16168
MD,MARYLAND,5,2019,M52019,0-14,F,53,2,.,.,12481
ME,MAINE,5,2019,M52019,0-14,F,15,.,.,.,2720
MI,MICHIGAN,5,2019,M52019,0-14,F,106,.,.,.,27865
MO,MISSOURI,5,2019,M52019,0-14,F,42,.,.,.,17868
MT,MONTANA,5,2019,M52019,0-14,F,16,1,.,1,2098
NC,NORTH CAROLINA,5,2019,M52019,0-14,F,115,2,.,3,29132
NH,NEW HAMPSHIRE,5,2019,M52019,0-14,F,18,.,.,.,3573
NJ,NEW JERSEY,5,2019,M52019,0-14,F,48,1,.,.,23155
NM,NEW MEXICO,5,2019,M52019,0-14,F,17,.,.,.,4520
NV,NEVADA,5,2019,M52019,0-14,F,39,.,.,.,7533
NY,NEW YORK,5,2019,M52019,0-14,F,116,.,.,3,45855
OH,OHIO,5,2019,M52019,0-14,F,143,.,.,1,40874
OR,OREGON,5,2019,M52019,0-14,F,63,.,.,.,7671
PA,PENNSYLVANIA,5,2019,M52019,0-14,F,94,3,.,.,21536
RI,RHODE ISLAND,5,2019,M52019,0-14,F,8,.,.,.,2710
SC,SOUTH CAROLINA,5,2019,M52019,0-14,F,28,2,.,.,7257
SD,SOUTH DAKOTA,5,2019,M52019,0-14,F,10,.,.,.,1747
TN,TENNESSEE,5,2019,M52019,0-14,F,51,1,.,4,14805
UT,UTAH,5,2019,M52019,0-14,F,42,4,.,2,4008
VA,VIRGINIA,5,2019,M52019,0-14,F,105,.,.,.,21565
VT,VERMONT,5,2019,M52019,0-14,F,3,.,.,.,1152
WA,WASHINGTON,5,2019,M52019,0-14,F,89,3,1,.,12583
WI,WISCONSIN,5,2019,M52019,0-14,F,58,4,.,.,11970
WV,WEST VIRGINIA,5,2019,M52019,0-14,F,19,1,.,.,4490
AK,ALASKA,6,2019,M62019,0-14,F,7,.,.,.,1533
AL,ALABAMA,6,2019,M62019,0-14,F,37,.,.,.,11239
AR,ARKANSAS,6,2019,M62019,0-14,F,24,.,.,.,3501
AZ,ARIZONA,6,2019,M62019,0-14,F,39,2,.,2,6110
CO,COLORADO,6,2019,M62019,0-14,F,19,.,.,.,3107
CT,CONNECTICUT,6,2019,M62019,0-14,F,32,.,.,.,8009
DC,DISTRICT OF COLUMBIA,6,2019,M62019,0-14,F,8,.,.,.,3838
DE,DELAWARE,6,2019,M62019,0-14,F,19,1,.,.,3078
FL,FLORIDA,6,2019,M62019,0-14,F,159,4,.,3,61060
GA,GEORGIA,6,2019,M62019,0-14,F,93,3,.,1,23708
IL,ILLINOIS,6,2019,M62019,0-14,F,111,4,.,1,25942
IN,INDIANA,6,2019,M62019,0-14,F,68,3,.,4,14267
KS,KANSAS,6,2019,M62019,0-14,F,34,.,.,.,6065
KY,KENTUCKY,6,2019,M62019,0-14,F,38,3,.,1,9723
LA,LOUISIANA,6,2019,M62019,0-14,F,25,.,.,.,9413
MA,MASSACHUSETTS,6,2019,M62019,0-14,F,50,.,.,1,13787
MD,MARYLAND,6,2019,M62019,0-14,F,64,2,.,4,10684
ME,MAINE,6,2019,M62019,0-14,F,14,1,.,.,2625
MI,MICHIGAN,6,2019,M62019,0-14,F,88,2,1,2,23698
MO,MISSOURI,6,2019,M62019,0-14,F,27,1,.,2,15532
MT,MONTANA,6,2019,M62019,0-14,F,17,.,.,1,1851
NC,NORTH CAROLINA,6,2019,M62019,0-14,F,102,4,.,2,23532
NH,NEW HAMPSHIRE,6,2019,M62019,0-14,F,14,.,.,.,3223
NJ,NEW JERSEY,6,2019,M62019,0-14,F,61,2,.,.,20807
NM,NEW MEXICO,6,2019,M62019,0-14,F,9,.,.,1,3706
NV,NEVADA,6,2019,M62019,0-14,F,23,.,.,1,5984
NY,NEW YORK,6,2019,M62019,0-14,F,101,3,.,1,42143
OH,OHIO,6,2019,M62019,0-14,F,115,1,.,.,33160
OR,OREGON,6,2019,M62019,0-14,F,55,1,.,.,6772
PA,PENNSYLVANIA,6,2019,M62019,0-14,F,101,1,.,1,17240
RI,RHODE ISLAND,6,2019,M62019,0-14,F,12,.,.,.,2271
SC,SOUTH CAROLINA,6,2019,M62019,0-14,F,38,1,.,.,6633
SD,SOUTH DAKOTA,6,2019,M62019,0-14,F,14,.,.,.,1711
TN,TENNESSEE,6,2019,M62019,0-14,F,62,2,.,.,11551
UT,UTAH,6,2019,M62019,0-14,F,44,1,.,1,3886
VA,VIRGINIA,6,2019,M62019,0-14,F,112,1,.,2,17415
VT,VERMONT,6,2019,M62019,0-14,F,7,.,.,1,1015
WA,WASHINGTON,6,2019,M62019,0-14,F,85,3,.,1,11363
WI,WISCONSIN,6,2019,M62019,0-14,F,41,1,.,.,10151
WV,WEST VIRGINIA,6,2019,M62019,0-14,F,30,.,.,1,3680
AK,ALASKA,7,2019,M72019,0-14,F,7,2,.,.,1684
AL,ALABAMA,7,2019,M72019,0-14,F,41,.,.,1,10540
AR,ARKANSAS,7,2019,M72019,0-14,F,25,1,.,1,3526
AZ,ARIZONA,7,2019,M72019,0-14,F,47,2,.,2,6193
CO,COLORADO,7,2019,M72019,0-14,F,14,.,.,.,2970
CT,CONNECTICUT,7,2019,M72019,0-14,F,25,1,.,1,7621
DC,DISTRICT OF COLUMBIA,7,2019,M72019,0-14,F,10,.,.,.,3540
DE,DELAWARE,7,2019,M72019,0-14,F,13,.,.,.,2994
FL,FLORIDA,7,2019,M72019,0-14,F,190,6,.,3,58662
GA,GEORGIA,7,2019,M72019,0-14,F,85,.,.,2,23472
ID,IDAHO,7,2019,M72019,0-14,F,27,1,.,.,2740
IL,ILLINOIS,7,2019,M72019,0-14,F,118,.,.,2,25502
IN,INDIANA,7,2019,M72019,0-14,F,68,.,.,.,14293
KS,KANSAS,7,2019,M72019,0-14,F,31,.,.,.,6015
KY,KENTUCKY,7,2019,M72019,0-14,F,39,1,.,2,8155
LA,LOUISIANA,7,2019,M72019,0-14,F,26,2,.,2,8592
MA,MASSACHUSETTS,7,2019,M72019,0-14,F,71,1,.,3,13375
MD,MARYLAND,7,2019,M72019,0-14,F,39,1,.,3,9791
ME,MAINE,7,2019,M72019,0-14,F,10,.,.,.,2790
MI,MICHIGAN,7,2019,M72019,0-14,F,84,.,.,1,22667
MO,MISSOURI,7,2019,M72019,0-14,F,45,1,.,.,15769
MT,MONTANA,7,2019,M72019,0-14,F,11,.,.,1,1781
NC,NORTH CAROLINA,7,2019,M72019,0-14,F,108,2,.,2,21792
NH,NEW HAMPSHIRE,7,2019,M72019,0-14,F,10,.,.,.,3222
NJ,NEW JERSEY,7,2019,M72019,0-14,F,38,.,.,.,19244
NM,NEW MEXICO,7,2019,M72019,0-14,F,27,.,.,1,4249
NV,NEVADA,7,2019,M72019,0-14,F,32,.,.,1,5739
NY,NEW YORK,7,2019,M72019,0-14,F,79,.,.,.,39192
OH,OHIO,7,2019,M72019,0-14,F,107,2,1,3,34511
OR,OREGON,7,2019,M72019,0-14,F,38,1,.,1,5943
PA,PENNSYLVANIA,7,2019,M72019,0-14,F,87,4,.,1,16625
RI,RHODE ISLAND,7,2019,M72019,0-14,F,12,.,.,.,2417
SC,SOUTH CAROLINA,7,2019,M72019,0-14,F,40,.,.,1,6351
SD,SOUTH DAKOTA,7,2019,M72019,0-14,F,18,.,.,.,1802
TN,TENNESSEE,7,2019,M72019,0-14,F,58,1,.,1,11565
UT,UTAH,7,2019,M72019,0-14,F,42,1,.,3,3812
VA,VIRGINIA,7,2019,M72019,0-14,F,81,1,.,2,15851
VT,VERMONT,7,2019,M72019,0-14,F,3,.,.,.,1000
WA,WASHINGTON,7,2019,M72019,0-14,F,85,.,.,3,10076
WI,WISCONSIN,7,2019,M72019,0-14,F,52,1,.,1,10568
WV,WEST VIRGINIA,7,2019,M72019,0-14,F,21,.,.,.,3654
AK,ALASKA,8,2019,M82019,0-14,F,8,1,.,1,1636
AL,ALABAMA,8,2019,M82019,0-14,F,44,.,.,4,12179
AR,ARKANSAS,8,2019,M82019,0-14,F,31,1,.,1,3656
AZ,ARIZONA,8,2019,M82019,0-14,F,64,2,.,4,8137
CO,COLORADO,8,2019,M82019,0-14,F,19,1,.,.,3442
CT,CONNECTICUT,8,2019,M82019,0-14,F,25,1,.,.,7119
DC,DISTRICT OF COLUMBIA,8,2019,M82019,0-14,F,12,.,.,.,3330
DE,DELAWARE,8,2019,M82019,0-14,F,19,.,.,.,3008
FL,FLORIDA,8,2019,M82019,0-14,F,213,7,1,7,63365
GA,GEORGIA,8,2019,M82019,0-14,F,93,1,.,1,29610
ID,IDAHO,8,2019,M82019,0-14,F,28,2,.,.,2700
IL,ILLINOIS,8,2019,M82019,0-14,F,98,2,.,2,25712
IN,INDIANA,8,2019,M82019,0-14,F,59,2,.,1,15693
KS,KANSAS,8,2019,M82019,0-14,F,32,1,.,.,5960
KY,KENTUCKY,8,2019,M82019,0-14,F,40,3,.,2,10386
LA,LOUISIANA,8,2019,M82019,0-14,F,34,.,.,.,10641
MA,MASSACHUSETTS,8,2019,M82019,0-14,F,78,2,.,1,13205
MD,MARYLAND,8,2019,M82019,0-14,F,49,1,.,2,9316
ME,MAINE,8,2019,M82019,0-14,F,11,1,.,1,2492
MI,MICHIGAN,8,2019,M82019,0-14,F,90,.,.,1,21455
MO,MISSOURI,8,2019,M82019,0-14,F,29,.,.,1,15746
MT,MONTANA,8,2019,M82019,0-14,F,21,.,.,.,1621
NC,NORTH CAROLINA,8,2019,M82019,0-14,F,120,4,.,2,21165
NH,NEW HAMPSHIRE,8,2019,M82019,0-14,F,28,.,.,2,3040
NJ,NEW JERSEY,8,2019,M82019,0-14,F,45,.,.,2,18105
NM,NEW MEXICO,8,2019,M82019,0-14,F,22,.,.,1,5650
NV,NEVADA,8,2019,M82019,0-14,F,28,1,.,.,6169
NY,NEW YORK,8,2019,M82019,0-14,F,90,.,.,2,35750
OH,OHIO,8,2019,M82019,0-14,F,138,3,1,2,34296
OR,OREGON,8,2019,M82019,0-14,F,56,.,.,1,5706
PA,PENNSYLVANIA,8,2019,M82019,0-14,F,84,3,.,2,15384
RI,RHODE ISLAND,8,2019,M82019,0-14,F,4,.,.,1,2387
SC,SOUTH CAROLINA,8,2019,M82019,0-14,F,28,.,.,2,6796
SD,SOUTH DAKOTA,8,2019,M82019,0-14,F,6,.,.,1,1624
TN,TENNESSEE,8,2019,M82019,0-14,F,65,3,.,2,13154
