key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
MO|2020|8|all|all:MO|2020|9|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,8,2020,9,all,all
MO|2020|8|all|all:MO|2021|8|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,8,2021,8,all,all
MO|2020|9|all|all:MO|2020|10|all|all,-1.64,10.49,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,9,2020,10,all,all
MO|2020|9|all|all:MO|2021|9|all|all,-24.15,-40.46,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,9,2021,9,all,all
MO|2021|1|all|all:MO|2021|2|all|all,-2.28,-5.81,suppressed,8.26,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,1,2021,2,all,all
MO|2021|10|all|all:MO|2021|11|all|all,-12.05,-11.72,suppressed,-0.03,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,10,2021,11,all,all
MO|2021|11|all|all:MO|2021|12|all|all,-12.47,-14.85,suppressed,-6.61,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,11,2021,12,all,all
MO|2021|2|all|all:MO|2021|3|all|all,3.56,16.92,suppressed,-22.05,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,2,2021,3,all,all
MO|2021|3|all|all:MO|2021|4|all|all,-5.87,-11.58,-31.94,25.26,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2021,3,2021,4,all,all
MO|2021|4|all|all:MO|2021|5|all|all,-7.41,-21.54,-26.77,2.46,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2021,4,2021,5,all,all
MO|2021|5|all|all:MO|2021|6|all|all,-3.1,15.43,24.83,-21.28,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2021,5,2021,6,all,all
MO|2021|6|all|all:MO|2021|7|all|all,-5.04,-21.58,suppressed,26.02,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,6,2021,7,all,all
MO|2021|7|all|all:MO|2021|8|all|all,16.46,-2.1,suppressed,-23.46,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2021,7,2021,8,all,all
MO|2021|8|all|all:MO|2021|9|all|all,-17.86,-27.55,-26.55,9.46,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2021,8,2021,9,all,all
MO|2021|9|all|all:MO|2021|10|all|all,12.61,31.31,16.31,-7.08,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2021,9,2021,10,all,all
MS|2018|1|all|all:MS|2018|2|all|all,missing,missing,missing,missing,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MS,US-MS,2018,1,2018,2,all,all
MS|2018|1|all|all:MS|2019|1|all|all,missing,missing,missing,missing,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MS,US-MS,2018,1,2019,1,all,all
MS|2018|10|all|all:MS|2018|11|all|all,missing,missing,missing,missing,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MS,US-MS,2018,10,2018,11,all,all
MS|2018|10|all|all:MS|2019|10|all|all,missing,missing,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MS,US-MS,2018,10,2019,10,all,all
