geoid,year,month,rate_time,jurisdiction_count,race_ethnicity,drug_rate,drug_pct,opioid_rate,opioid_pct,fentanyl_rate,fentanyl_pct,heroin_rate,heroin_pct,stimulant_rate,stimulant_pct,cocaine_rate,cocaine_pct,methamphetamine_rate,methamphetamine_pct,benzodiazepine_rate,benzodiazepine_pct
US,2025,6,Annual,41,Missing,61.4,7.4,15.2,6.6,2.6,7,1.2,6.5,3.2,7.7,1.6,8.2,1,7.2,1,6.1
US,2025,6,Annual,41,"Multiple/Other, NH",59.9,3.2,16.2,3.1,2.9,3.5,1.3,3,2.8,3,1.2,2.8,1,3.2,1.1,2.8
US,2025,6,Annual,41,"NHOPI, NH",37.4,0.2,10.1,0.2,2.8,0.3,9999,0,1.9,0.2,9999,0.1,1.1,0.3,9999,0.1
US,2025,6,Annual,41,"White, NH",57.2,55.7,15.9,56.1,2.7,58.7,1.1,46.2,2.5,49.3,0.9,36.4,1.1,61.9,1.5,69.7
US,2025,7,Annual,39,"AIAN, NH",82.2,1.1,28.6,1.4,8.5,2.7,0.7,0.4,4,1.1,0.9,0.5,2.2,1.8,0.8,0.5
US,2025,7,Annual,39,"Asian, NH",35.4,1,4.2,0.4,0.8,0.5,0.2,0.2,1.2,0.7,0.5,0.6,0.3,0.5,0.5,0.7
US,2025,7,Annual,39,"Black, NH",52.4,18.8,16,21.1,1.7,14.5,2.1,33.6,3,22.1,2.1,32.3,0.5,11.5,0.5,8.3
US,2025,7,Annual,39,Hispanic,43.4,12.7,10.5,11.3,1.9,12.9,0.8,9.9,2.6,15.8,1.5,18.8,0.7,12.4,0.8,12
US,2025,7,Annual,39,Missing,60.7,7.4,14.9,6.7,2.5,7.1,1.3,6.7,3.1,7.8,1.6,8.4,1,7.3,1,6.1
US,2025,7,Annual,39,"Multiple/Other, NH",57.9,3.1,14.7,2.9,2.5,3,1.3,2.9,2.5,2.7,1.1,2.6,0.8,2.7,1.1,2.7
